Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
452143,04/11/2021,30/09/2021,SCP LESOURD,Décision,Plein contentieux,10ème chambre jugeant seule
452155,04/11/2021,30/09/2021,SOLTNER,Décision,Plein contentieux,10ème chambre jugeant seule
452259,10/11/2021,21/10/2021,,Décision,Excès de pouvoir, 7ème chambre jugeant seule
452267,09/11/2021,14/10/2021,,Décision,Plein contentieux,1ère chambre jugeant seule
452313,18/11/2021,08/10/2021,,Décision,Excès de pouvoir, 4ème chambre jugeant seule
452314,10/11/2021,21/10/2021,,Décision,Excès de pouvoir, 7ème chambre jugeant seule
452337,04/11/2021,30/09/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
452348,22/11/2021,21/10/2021,,Décision,Excès de pouvoir, 3ème chambre jugeant seule
452460,23/11/2021,15/10/2021,"SCP ROCHETEAU, UZAN-SARANO",Décision,Plein contentieux, 4ème chambre jugeant seule
452472,22/11/2021,21/10/2021,CABINET BRIARD,Décision,Plein contentieux, 8ème chambre jugeant seule
452477,22/11/2021,21/10/2021,,Décision,Excès de pouvoir, 3ème chambre jugeant seule
452507,22/11/2021,21/10/2021,CABINET MUNIER-APAIRE,Décision,Plein contentieux, 8ème chambre jugeant seule
452516,04/11/2021,14/10/2021,"SCP MARLANGE, DE LA BURGADE",Décision,Excès de pouvoir, 2ème chambre jugeant seule
452533,23/11/2021,15/10/2021,SCP DUHAMEL - RAMEIX - GURY- MAITRE,Décision,Plein contentieux, 4ème chambre jugeant seule
452582,09/11/2021,14/10/2021,SARL ORTSCHEIDT,Décision,Excès de pouvoir,1ère chambre jugeant seule
452610,10/11/2021,21/10/2021,,Décision,Plein contentieux, 7ème chambre jugeant seule
452625,04/11/2021,14/10/2021,,Décision,Excès de pouvoir, 2ème chambre jugeant seule
452646,16/11/2021,21/10/2021,"SCP DE CHAISEMARTIN, DOUMIC-SEILLER",Décision,Plein contentieux,10ème chambre jugeant seule
452674,22/11/2021,21/10/2021,,Décision,Plein contentieux, 3ème chambre jugeant seule
452676,22/11/2021,21/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,, 3ème chambre jugeant seule
452692,22/11/2021,21/10/2021,,Décision,Plein contentieux, 3ème chambre jugeant seule
452723,18/11/2021,25/10/2021,,Décision,Rectif. d'erreur matérielle,10ème chambre jugeant seule
452724,22/11/2021,21/10/2021,,Décision,Plein contentieux, 3ème chambre jugeant seule
452768,09/11/2021,14/10/2021,LE PRADO,Décision,Excès de pouvoir,1ère chambre jugeant seule
452785,09/11/2021,14/10/2021,,Décision,Excès de pouvoir,1ère chambre jugeant seule
452879,10/11/2021,14/10/2021,"SCP RICARD, BENDEL-VASSEUR, GHNASSIA",Décision,Excès de pouvoir, 5ème chambre jugeant seule
452893,22/11/2021,21/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir, 3ème chambre jugeant seule
452907,10/11/2021,21/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir, 7ème chambre jugeant seule
452950,09/11/2021,14/10/2021,SCP SPINOSI,Décision,Excès de pouvoir,1ère chambre jugeant seule
452952,15/11/2021,22/10/2021,SARL DIDIER-PINET,Décision,Plein contentieux,8ème et 3ème chambres réunies
452956,09/11/2021,14/10/2021,SCP SPINOSI,Décision,Excès de pouvoir,1ère chambre jugeant seule
452960,09/11/2021,14/10/2021,SCP SPINOSI,Décision,Excès de pouvoir,1ère chambre jugeant seule
453022,15/11/2021,22/10/2021,SCP LESOURD,Décision,Plein contentieux,8ème et 3ème chambres réunies
453026,22/11/2021,21/10/2021,,Décision,Plein contentieux, 3ème chambre jugeant seule
453062,04/11/2021,30/09/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
453068,04/11/2021,30/09/2021,"SCP BARADUC, DUHAMEL, RAMEIX",Décision,Plein contentieux,10ème chambre jugeant seule
453081,18/11/2021,25/10/2021,SCP DUHAMEL - RAMEIX - GURY- MAITRE,Décision,Plein contentieux,10ème chambre jugeant seule
453104,19/11/2021,21/10/2021,"SCP WAQUET, FARGE, HAZAN",Décision,Plein contentieux,10ème chambre jugeant seule
453129,18/11/2021,25/10/2021,CABINET BRIARD,Décision,Plein contentieux,10ème chambre jugeant seule
453244,15/11/2021,22/10/2021,"SCP FOUSSARD, FROGER",Décision,Excès de pouvoir,8ème et 3ème chambres réunies
453251,22/11/2021,21/10/2021,,Décision,Plein contentieux, 8ème chambre jugeant seule
453288,09/11/2021,14/10/2021,"SCP MARLANGE, DE LA BURGADE",Décision,,1ère chambre jugeant seule
453315,22/11/2021,08/10/2021,PARISOT,Décision,Rectif. d'erreur matérielle, 4ème chambre jugeant seule
